,randState,normMode,regType,score,mse,coefficients,intercepts,,,,,,,,coefficient,coefficient,coefficient,coefficient,coefficient,intercepts
0,1,None,Linear,0.142173107,37111539.46,-227.13902207 82.75663204 -123.81776614 -0.30866561 94.00127592,571.7022262,,-227.13902207,82.75663204,-123.81776614,-0.30866561,94.00127592,,-227.139,82.757,-123.818,-0.309,94.001,571.702
1,1,None,Linear SVM,0.135241932,37411397.8,-7.9556887 79.54441693 -68.86472893 -0.24041959 -1.89548042,33.9405632,,-7.9556887,79.54441693,-68.86472893,-0.24041959,-1.89548042,,-7.956,79.544,-68.865,-0.24,-1.895,33.941
2,1,Z-Score/Standard,Linear,0.142173107,37111539.46,-149.14751384 2926.40184947 -112.77712551 -78.94809228 195.64728846,8195.829452,,-149.14751384,2926.40184947,-112.77712551,-78.94809228,195.64728846,,-149.148,2926.402,-112.777,-78.948,195.647,8195.829
3,1,Z-Score/Standard,Linear SVM,0.047784753,41194994.01,438.36829329 876.86976172 -56.20650273 194.02250035 53.18367146,6446.040401,,438.36829329,876.86976172,-56.20650273,194.02250035,53.18367146,,438.368,876.87,-56.207,194.023,53.184,6446.04
4,1,Min-Max,Linear,0.142173107,37111539.46,"-454.27804414 19530.56516178 -619.08883068 -893.01303236
 470.0063796 ",5619.826221,,-454.27804414,19530.56516178,-619.08883068,"-893.01303236
",470.0063796,,-454.278,19530.565,-619.089,#VALUE!,470.006,5619.826
5,1,Min-Max,Linear SVM,-0.074246842,46474357.9,419.55451527 292.87393304 -9.29096945 99.78681144 115.16088509,5727.771849,,419.55451527,292.87393304,-9.29096945,99.78681144,115.16088509,,419.555,292.874,-9.291,99.787,115.161,5727.772
6,20,None,Linear,0.173509783,43267499.35,-167.50915774 80.91055513 -221.03811255 -0.30614935 56.85473088,769.0789287,,-167.50915774,80.91055513,-221.03811255,-0.30614935,56.85473088,,-167.509,80.911,-221.038,-0.306,56.855,769.079
7,20,None,Linear SVM,0.159188662,44017222.79,-2.18948746 79.63245286 -76.49831763 -0.2386987 -0.15863281,22.00770532,,-2.18948746,79.63245286,-76.49831763,-0.2386987,-0.15863281,,-2.189,79.632,-76.498,-0.239,-0.159,22.008
8,20,Z-Score/Standard,Linear,0.173509783,43267499.35,-109.47096168 2792.32597399 -198.35620795 -77.76994392 117.97710896,8108.570328,,-109.47096168,2792.32597399,-198.35620795,-77.76994392,117.97710896,,-109.471,2792.326,-198.356,-77.77,117.977,8108.57
9,20,Z-Score/Standard,Linear SVM,0.050981679,49681954.79,429.46695336 869.93543187 -71.31835877 185.4856644 70.66695169,6448.191355,,429.46695336,869.93543187,-71.31835877,185.4856644,70.66695169,,429.467,869.935,-71.318,185.486,70.667,6448.191
10,20,Min-Max,Linear,0.173509783,43267499.35,"-335.01831548 19094.89101075 -1105.19056276 -885.73314135
 284.27365439",5704.592481,,-335.01831548,19094.89101075,-1105.19056276,"-885.73314135
",284.27365439,,-335.018,19094.891,-1105.191,#VALUE!,284.274,5704.592
11,20,Min-Max,Linear SVM,-0.087428881,56927870.93,409.5 279.31779661 -18.4 96.99279581 124.6 ,5721.053529,,409.5,279.31779661,-18.4,96.99279581,124.6,,409.5,279.318,-18.4,96.993,124.6,5721.054
12,40,None,Linear,0.156445415,42653600.12,-11.90957764 81.88559007 -168.82472883 -0.54479416 71.16971835,662.9584269,,-11.90957764,81.88559007,-168.82472883,-0.54479416,71.16971835,,-11.91,81.886,-168.825,-0.545,71.17,662.958
13,40,None,Linear SVM,0.142721184,43347553.9,0.47742929 79.60296707 -74.38992779 -0.2411471 -0.96319337,25.62587925,,0.47742929,79.60296707,-74.38992779,-0.2411471,-0.96319337,,0.477,79.603,-74.39,-0.241,-0.963,25.626
14,40,Z-Score/Standard,Linear,0.156445415,42653600.12,-7.77782612 2834.01060063 -154.10777688 -137.182215 148.07296775,8111.153127,,-7.77782612,2834.01060063,-154.10777688,-137.182215,148.07296775,,-7.778,2834.011,-154.108,-137.182,148.073,8111.153
15,40,Z-Score/Standard,Linear SVM,0.045709878,48252845.79,445.58557127 905.6506952 -64.93726659 191.94601744 66.32825209,6462.248656,,445.58557127,905.6506952,-64.93726659,191.94601744,66.32825209,,445.586,905.651,-64.937,191.946,66.328,6462.249
16,40,Min-Max,Linear,0.156445415,42653600.12,"-23.81915528 19324.99925676 -844.12364416 -1576.16614429
 355.84859176",5657.925483,,-23.81915528,19324.99925676,-844.12364416,"-1576.16614429
",355.84859176,,-23.819,19324.999,-844.124,#VALUE!,355.849,5657.925
17,40,Min-Max,Linear SVM,-0.094468356,55340835.63,406. 281.39830508 -24. 92.18458946 123. ,5692.076832,,406.,281.39830508,-24.,92.18458946,123.,,406,281.398,-24,92.185,123,5692.077
